legacy_file,type,possible_source,status,notes
logs/00-training_history.csv,metrics,unknown,metadata_missing,"CNNBaseline and ResNet18, 10 epochs each"
logs/11-training_history.csv,metrics,unknown,metadata_missing,"CNNBaseline 100 epochs; ResNet18 interrupted at epoch 31"
logs/22-training_history.csv,metrics,unknown,metadata_missing,"CNNBaseline and ResNet18, 100 epochs each"
logs/training_history.csv,metrics,unknown,metadata_missing,"CNNBaseline and ResNet18, 200 epochs each"
checkpoints/CNNBaseline_best.pt,checkpoint,logs/training_history.csv,inferred,"Timestamp suggests the 200-epoch run; not guaranteed"
checkpoints/baseline_best.pt,checkpoint,unknown,orphaned,"Legacy standalone training; exact hyperparameters unavailable"
checkpoints/resnet18_best.pt,checkpoint,logs/training_history.csv,inferred,"Timestamp suggests the 200-epoch run; not guaranteed"
figures/CNNBaseline_accuracy.png,figure,logs/00-training_history.csv,inferred,"Inferred from timestamp only"
figures/CNNBaseline_loss.png,figure,logs/00-training_history.csv,inferred,"Inferred from timestamp only"
figures/ResNet18_accuracy.png,figure,logs/00-training_history.csv,inferred,"Inferred from timestamp only"
figures/ResNet18_loss.png,figure,logs/00-training_history.csv,inferred,"Inferred from timestamp only"
figures/22-comparison_accuracy.png,figure,logs/22-training_history.csv,inferred,"Inferred from filename only"
figures/22-comparison_loss.png,figure,logs/22-training_history.csv,inferred,"Inferred from filename only"
figures/comparison_accuracy.png,figure,logs/training_history.csv,inferred,"Inferred from timestamp only"
figures/comparison_loss.png,figure,logs/training_history.csv,inferred,"Inferred from timestamp only"
